# Mathis, Mezger & Panagia (1983) MW ISRF starlight (no CMB), U=1
# lambda[um]   L_lambda[arb, shape only; normalized to unit peak]
  9.159583e+00   7.933020e-18
  9.391944e+00   7.222282e-18
  9.630200e+00   6.574124e-18
  9.874499e+00   5.983163e-18
  1.012500e+01   5.444465e-18
  1.038185e+01   4.953508e-18
  1.064521e+01   4.506151e-18
  1.091526e+01   4.098600e-18
  1.119216e+01   3.727382e-18
  1.147609e+01   3.389321e-18
  1.176721e+01   3.081508e-18
  1.206572e+01   2.801286e-18
  1.237181e+01   2.546225e-18
  1.268566e+01   2.314102e-18
  1.300747e+01   2.102889e-18
  1.333744e+01   1.910730e-18
  1.367579e+01   1.735934e-18
  1.402271e+01   1.576955e-18
  1.437844e+01   1.432381e-18
  1.474320e+01   1.300925e-18
  1.511720e+01   1.181414e-18
  1.550070e+01   1.072775e-18
  1.589392e+01   9.740327e-19
  1.629712e+01   8.842959e-19
  1.671054e+01   8.027532e-19
  1.713446e+01   7.286649e-19
  1.756913e+01   6.613571e-19
  1.801482e+01   6.002161e-19
  1.847182e+01   5.446828e-19
  1.894042e+01   4.942481e-19
  1.942090e+01   4.484484e-19
  1.991357e+01   4.068620e-19
  2.041874e+01   3.691049e-19
  2.093672e+01   3.348276e-19
  2.146785e+01   3.037123e-19
  2.201244e+01   2.754697e-19
  2.257086e+01   2.498369e-19
  2.314344e+01   2.265746e-19
  2.373054e+01   2.054654e-19
  2.433254e+01   1.863114e-19
  2.494981e+01   1.689329e-19
  2.558274e+01   1.531666e-19
  2.623172e+01   1.388638e-19
  2.689717e+01   1.258897e-19
  2.757950e+01   1.141216e-19
  2.827914e+01   1.034482e-19
  2.899652e+01   9.376828e-20
  2.973211e+01   8.498991e-20
  3.048636e+01   7.702962e-20
  3.125974e+01   6.981162e-20
  3.205273e+01   6.326707e-20
  3.286585e+01   5.733348e-20
  3.369959e+01   5.195412e-20
  3.455449e+01   4.707748e-20
  3.543107e+01   4.265682e-20
  3.632988e+01   3.864971e-20
  3.725150e+01   3.501765e-20
  3.819650e+01   3.172569e-20
  3.916547e+01   2.874213e-20
  4.015903e+01   2.603821e-20
  4.117778e+01   2.358782e-20
  4.222238e+01   2.136730e-20
  4.329348e+01   1.935516e-20
  4.439176e+01   1.753193e-20
  4.551789e+01   1.587994e-20
  4.667259e+01   1.438317e-20
  4.785658e+01   1.302708e-20
  4.907061e+01   1.179849e-20
  5.031544e+01   1.068547e-20
  5.159184e+01   9.677173e-21
  5.290063e+01   8.763781e-21
  5.424261e+01   7.936389e-21
  5.561864e+01   7.186925e-21
  5.702958e+01   6.508071e-21
  5.847631e+01   5.893194e-21
  5.995974e+01   5.336281e-21
  6.148081e+01   4.831884e-21
  6.304046e+01   4.375064e-21
  6.463967e+01   3.961344e-21
  6.627945e+01   3.586669e-21
  6.796083e+01   3.247363e-21
  6.968487e+01   2.940096e-21
  7.145264e+01   2.661849e-21
  7.326525e+01   2.409887e-21
  7.512385e+01   2.181734e-21
  7.702960e+01   1.975144e-21
  7.898369e+01   1.788084e-21
  8.098735e+01   1.618711e-21
  8.304185e+01   1.465356e-21
  8.514846e+01   1.326507e-21
  8.730851e+01   1.200796e-21
  8.952336e+01   1.086980e-21
  9.179439e+01   9.839371e-22
  9.412304e+01   8.906488e-22
  9.651076e+01   8.061933e-22
  9.895905e+01   7.297357e-22
  1.014694e+02   6.605199e-22
  1.040435e+02   5.978610e-22
  1.066829e+02   5.411389e-22
  1.093893e+02   4.897919e-22
  1.121642e+02   4.433115e-22
  1.150096e+02   4.012369e-22
  1.179272e+02   3.631513e-22
  1.209188e+02   3.286769e-22
  1.239863e+02   2.974718e-22
  1.271316e+02   2.692263e-22
  1.303566e+02   2.436601e-22
  1.336635e+02   2.205194e-22
  1.370543e+02   1.995743e-22
  1.405311e+02   1.806167e-22
  1.440961e+02   1.634584e-22
  1.477516e+02   1.479286e-22
  1.514997e+02   1.338730e-22
  1.553430e+02   1.211518e-22
  1.592838e+02   1.096384e-22
  1.633245e+02   9.921837e-23
  1.674677e+02   8.978786e-23
  1.717160e+02   8.125303e-23
  1.760721e+02   7.352890e-23
  1.805387e+02   6.653851e-23
  1.851187e+02   6.021224e-23
  1.898148e+02   5.448704e-23
  1.946300e+02   4.930586e-23
  1.995674e+02   4.461703e-23
  2.046300e+02   4.037382e-23
  2.098211e+02   3.653391e-23
  2.151438e+02   3.305898e-23
  2.206016e+02   2.991439e-23
  2.261979e+02   2.706873e-23
  2.319361e+02   2.449363e-23
  2.378198e+02   2.216337e-23
  2.438529e+02   2.005469e-23
  2.500389e+02   1.814653e-23
  2.563819e+02   1.641983e-23
  2.628859e+02   1.485736e-23
  2.695548e+02   1.344350e-23
  2.763928e+02   1.216412e-23
  2.834044e+02   1.100644e-23
  2.905938e+02   9.958890e-24
  2.979656e+02   9.010999e-24
  3.055244e+02   8.153291e-24
  3.132750e+02   7.377191e-24
  3.212222e+02   6.674937e-24
  3.293710e+02   6.039506e-24
  3.377265e+02   5.464543e-24
  3.462939e+02   4.944297e-24
  3.550787e+02   4.473562e-24
  3.640864e+02   4.047630e-24
  3.733226e+02   3.662236e-24
  3.827930e+02   3.313526e-24
  3.925038e+02   2.998008e-24
  4.024608e+02   2.712525e-24
  4.126705e+02   2.454218e-24
  4.231391e+02   2.220502e-24
  4.338733e+02   2.009036e-24
  4.448799e+02   1.817703e-24
  4.561656e+02   1.644586e-24
  4.677376e+02   1.487953e-24
  4.796032e+02   1.346234e-24
  4.917699e+02   1.218009e-24
  5.042451e+02   1.101994e-24
  5.170368e+02   9.970268e-25
  5.301531e+02   9.020555e-25
  5.436020e+02   8.161285e-25
  5.573921e+02   7.383848e-25
  5.715321e+02   6.680452e-25
  5.860308e+02   6.044049e-25
  6.008972e+02   5.468258e-25
  6.161408e+02   4.947309e-25
  6.317711e+02   4.475980e-25
  6.477979e+02   4.049546e-25
  6.642313e+02   3.663731e-25
  6.810816e+02   3.314667e-25
  6.983593e+02   2.998854e-25
  7.160753e+02   2.713125e-25
  7.342408e+02   2.454616e-25
  7.528670e+02   2.220734e-25
  7.719658e+02   2.009133e-25
  7.915491e+02   1.817691e-25
  8.116292e+02   1.644488e-25
  8.322186e+02   1.487786e-25
  8.533304e+02   1.346014e-25
  8.749778e+02   1.217750e-25
  8.971742e+02   1.101706e-25
  9.199338e+02   9.967196e-26
  9.432708e+02   9.017361e-26
  9.671997e+02   8.158030e-26
  9.917357e+02   7.380580e-26
  1.016894e+03   6.677211e-26
  1.042691e+03   6.040864e-26
  1.069142e+03   5.465156e-26
  1.096264e+03   4.944307e-26
  1.124074e+03   4.473091e-26
  1.152590e+03   4.046779e-26
  1.181829e+03   3.661093e-26
  1.211809e+03   3.312162e-26
  1.242550e+03   2.996483e-26
  1.274072e+03   2.710889e-26
  1.306392e+03   2.452511e-26
  1.339533e+03   2.218758e-26
  1.373514e+03   2.007282e-26
  1.408358e+03   1.815960e-26
  1.444085e+03   1.642873e-26
  1.480719e+03   1.486281e-26
  1.518282e+03   1.344614e-26
  1.556797e+03   1.216450e-26
  1.596290e+03   1.100500e-26
  1.636785e+03   9.956019e-27
  1.678307e+03   9.007016e-27
  1.720883e+03   8.148466e-27
  1.764538e+03   7.371746e-27
  1.809301e+03   6.669059e-27
  1.855200e+03   6.033349e-27
  1.902262e+03   5.458232e-27
  1.950519e+03   4.937933e-27
  2.000000e+03   4.467228e-27
